term,definition,ipa,synonyms,antonyms
divulge,""" v. make known (private or sensitive information). """"I am too much of a gentleman to divulge her age"""" """,dīˈvəlj,"disclose, reveal, tell, communicate, pass on, publish, broadcast, proclaim antonyms: conceal",conceal
fawn,""" v. (of a person) give a servile display of exaggerated flattery or affection, typically in order to gain favor or advantage. """"congressmen fawn over the President"""" """,fôn,"be obsequious to, be sycophantic to, curry favor with, flatter, play up to, crawl to, ingratiate oneself with, dance attendance on",
flout,""" v. openly disregard (a rule, law or convention). """"these same companies still flout basic ethical practices"""" """,flout,"defy, refuse to obey, disobey, break, violate, fail to comply with, fail to observe, contravene, infringe, breach, commit a breach of, transgress against antonyms: observe",observe
garrulous,""" adj. excessively talkative, especially on trivial matters. """"Polonius is portrayed as a foolish, garrulous old man"""" """,ˈɡer(y)ələs,"talkative, loquacious, voluble, verbose, chatty, chattering, gossipy antonyms: taciturn, reticent, concise","taciturn, reticent, concise"
glib,""" adj. (of words or the person speaking them) fluent and voluble but insincere and shallow. """"she was careful not to let the answer sound too glib"""" """,ɡlib,"slick, pat, fast-talking, smooth-talking antonyms: sincere",sincere
hubris,"n. excessive pride or self-confidence. synonyms: arrogance, conceit, haughtiness, hauteur, pride, self-importance, egotism, pomposity, superciliousness, superiority antonyms: humility",ˈ(h)yo͞obrəs,,
imminent,""" adj. about to happen. """"they were in imminent danger of being swept away"""" """"a ceasefire was imminent""""""",ˈimənənt,"impending, close (at hand), near, (fast) approaching, coming, forthcoming, on the way, in the offing, in the pipeline, on the horizon, in the air, just around the corner, coming down the pike, expected, anticipated, brewing, looming, threatening, menacing",
immutable,""" adj. unchanging over time or unable to be changed. """"an immutable fact"""" """,i(m)ˈmyo͞odəb(ə)l,"fixed, set, rigid, inflexible, permanent, established, carved in stone antonyms: variable",variable
impetuous,""" adj. acting or done quickly and without thought or care. """"her friend was headstrong and impetuous""""    adj. moving forcefully or rapidly. """"an impetuous but controlled flow of water"""" """,imˈpeCH(o͞o)əs,"impulsive, rash, hasty, overhasty, reckless, heedless, careless, foolhardy, bullheaded, headstrong, incautious, imprudent, injudicious, ill-considered, unthought-out antonyms: considered, cautious, torrential, powerful, forceful, vigorous, violent, raging, relentless, uncontrolled antonyms: sluggish","considered, cautious, sluggish"
inimical,""" adj. tending to obstruct or harm. """"actions inimical to our interests"""" """,iˈnimək(ə)l,"harmful, injurious, detrimental, deleterious, prejudicial, damaging, hurtful, destructive, ruinous, pernicious antonyms: friendly, favorable","friendly, favorable"
intractable,""" adj. hard to control or deal with. """"intractable economic problems""""    adj. (of a person) difficult; stubborn. """"an intractable man"""" """,ˌinˈtraktəb(ə)l,"unmanageable, uncontrollable, difficult, awkward, troublesome, demanding, burdensome antonyms: manageable, stubborn, obstinate, obdurate, inflexible, headstrong, willful, unbending, unyielding, uncompromising, unaccommodating, uncooperative, difficult, awkward, perverse, contrary, pigheaded, stiff-necked","manageable, compliant"
intrepid,""" adj. fearless; adventurous (often used for rhetorical or humorous effect). """"our intrepid reporter"""" """,inˈtrepəd,"fearless, unafraid, undaunted, unflinching, unshrinking, bold, daring, gallant, audacious, adventurous, heroic, dynamic, spirited, indomitable antonyms: timid",timid
laconic,""" adj. (of a person, speech, or style of writing) using very few words. """"his laconic reply suggested a lack of interest in the topic"""" """,ləˈkänik,"brief, concise, terse, succinct, short, pithy antonyms: verbose, loquacious","verbose, loquacious"
maverick,""" n. an unorthodox or independent-minded person. """"a maverick among Connecticut Republicans"""" """,ˈmav(ə)rik,"individualist, nonconformist, free spirit, unorthodox person, original, eccentric antonyms: conformist",conformist
mercurial,""" adj. (of a person) subject to sudden or unpredictable changes of mood or mind. """"his mercurial temperament"""" """,ˌmərˈkyo͝orēəl,"volatile, capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, moody, flighty, wayward, whimsical, impulsive antonyms: stable",stable
mollify,""" v. appease the anger or anxiety of (someone). """"nature reserves were set up around the power stations to mollify local conservationists"""" """"they tried to mollify the protesters"""" """,ˈmäləˌfī,"appease, placate, pacify, conciliate, soothe, calm (down)",enrage
neophyte,""" n. a person who is new to a subject, skill, or belief. """"four-day cooking classes are offered to neophytes and experts"""" """,ˈnēəˌfīt,"beginner, learner, novice, newcomer",
obfuscate,""" v. render obscure, unclear, or unintelligible. """"the spelling changes will deform some familiar words and obfuscate their etymological origins"""" """"mere rationalizations to obfuscate rather than clarify the real issue"""" """,ˈäbfəˌskāt,"obscure, confuse, make unclear, blur, muddle, complicate, overcomplicate, muddy, cloud, befog",clarify
obstinate,"adj. stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so. synonyms: stubborn, unyielding, inflexible, unbending, intransigent, intractable, obdurate, mulish, bullheaded, stubborn as a mule, pigheaded, self-willed, strong-willed, headstrong, willful, contrary, perverse, recalcitrant, refractory, uncooperative, unmanageable, stiff-necked, rigid, uncompromising, implacable, unrelenting, immovable, unshakable antonyms: compliant",ˈäbstənət,,
ostentatious,""" adj. characterized by vulgar or pretentious display; designed to impress or attract notice. """"books that people buy and display ostentatiously but never actually finish"""" """,ˌästənˈtāSHəs,"showy, pretentious, conspicuous, flamboyant, gaudy, brash, vulgar, loud, extravagant, fancy, ornate, overelaborate antonyms: restrained",restrained
pervade,""" v. (especially of a smell) spread through and be perceived in every part of. """"a smell of stale cabbage pervaded the air"""" """,pərˈvād,"permeate, spread through, fill, suffuse, be diffused through, imbue, penetrate, filter through, percolate through, infuse, perfuse, flow through",
phlegmatic,"adj. (of a person) having an unemotional and stolidly calm disposition. synonyms: calm, cool, composed, 'calm, cool, and collected', controlled, serene, tranquil, placid, impassive, imperturbable, unruffled, dispassionate, philosophical antonyms: excitable",fleɡˈmadik,,
plethora,""" n. a large or excessive amount of (something). """"a plethora of committees and subcommittees"""" """,ˈpleTHərə,"excess, overabundance, superabundance, surplus, glut, superfluity, surfeit, profusion antonyms: dearth",dearth
pristine,""" adj. clean and fresh as if new; spotless. """"a pristine white shirt"""" """"Lurene's clothes are always so pristine"""" """,priˈstēn,"immaculate, perfect, in mint condition, as new, unspoiled, spotless, flawless, impeccable, clean, fresh, new, virgin, pure, unused","dirty, spoiled"
probity,""" n. the quality of having strong moral principles; honesty and decency. """"financial probity"""" """"the committee feels that he has demonstrated little probity in this matter"""" """,ˈprōbədē,"integrity, honesty, uprightness, decency, morality, rectitude, goodness, virtue, right-mindedness, trustworthiness, truthfulness, honor",untrustworthiness
proclivity,""" n. a tendency to choose or do something regularly; an inclination or predisposition toward a particular thing. """"a proclivity for hard work"""" """,prōˈklivədē,"inclination, tendency, leaning, disposition, proneness, propensity, bent, bias, penchant, predisposition",
profligate,""" adj. recklessly extravagant or wasteful in the use of resources. """"profligate consumers of energy"""" """"profligate local authorities"""" """,ˈpräfləɡət,"wasteful, extravagant, spendthrift, improvident, prodigal","thrifty, frugal"
prosaic,""" adj. having the style or diction of prose; lacking poetic beauty. """"prosaic language can't convey the experience""""    adj. commonplace; unromantic. """"the masses were too preoccupied by prosaic day-to-day concerns""""""",prəˈzāik,"ordinary, everyday, commonplace, conventional, straightforward, routine, run-of-the-mill, by-the-numbers, workaday antonyms: interesting, imaginative, inspired","interesting, imaginative, inspired"
quixotic,""" adj. exceedingly idealistic; unrealistic and impractical. """"a vast and perhaps quixotic project"""" """,kwikˈsädik,"idealistic, romantic, visionary, utopian, extravagant, starry-eyed, unrealistic, unworldly",
quotidian,""" adj. ordinary or everyday, especially when mundane. """"his story is an achingly human one, mired in quotidian details"""" """,kwōˈtidēən,"daily, everyday, day-to-day, diurnal antonyms: unusual",unusual
recondite,""" adj. (of a subject or knowledge) little known; abstruse. """"the book is full of recondite information"""" """,ˈrekənˌdīt,"obscure, abstruse, arcane, esoteric, recherché, profound, difficult, complex, complicated, involved",
refulgent,""" adj. shining brightly. """"refulgent blue eyes""""""",rəˈfəljənt,,
renege,""" v. go back on a promise, undertaking, or contract. """"the administration had reneged on its election promises"""" """"he reneged on his campaign promises"""" """,riˈneɡ,"default on, fail to honor, go back on, break, back out of, withdraw from, retreat from, welsh on, backtrack on; break one's word/promise about",honor
